,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
330,Chicotear,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O dono da fazenda chicoteou o escravo.
331,Chifrar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O bode chifrou o fazendeiro.
332,Chocar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As ideias radicais da atriz chocou a plateia.
333,Choramingar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebezinho choramingava muito.
334,Chorar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O bebezinho chorava muito.
335,Chover,Atividade: verbos meteorológicos,- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Locativo},- Estrutura sintática básica: [V SP],Choveu em Belo Horizonte.
336,Chuchar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A menina chuchou os brinquedos no guarda-roupas.
337,Chupar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O bebê chupou o bico da mamadeira.
338,Chutar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O menino travesso chutou as costas do colega.
339,Chuviscar,Atividade: verbos meteorológicos,- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Locativo},- Estrutura sintática básica: [V SP],Chuviscou bastante em Sorocaba.
340,Cicatrizar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As propriedades curativas da pomada cicatrizaram a ferida do menino.
341,Cimentar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro cimentou os tijolos.
342,Civilizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A educação e a arte civilizaram os povos./ O gregos civilizaram seu povo para melhorar a convivência em sociedade.
343,Clarear,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A exposição ao sol clareou o cabelo da Maria./ O cabeleireiro clareou o cabelo da Maria para deixá-la diferente.
344,Coagular,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O ar seco coagulou o sangue./ O químico coagulou o sangue propositalmente.
345,Coalhar,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A calda do doce coalhou.
346,Cobiçar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O artista cobiçava as glórias do palco.
347,Cobrir,Causação: verbos de mudança de estado de posse,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente, (Instrumento)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A ventania cobriu todo o chão com folhas de árvore./ O menino cobriu todo o chão com folhas de árvore.
348,Coçar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O menino coçou o focinho do cachorro carinhosamente.
349,Cochichar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A Maria cochichava durante as aulas.
350,Cochilar,Atividade: verbos internamente causados (inergativos),- Aspecto lexical básico: atividade,- Estrutura de papéis temáticos: {Agente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A senhora cochilava sempre após o almoço.
351,Colar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A umidade colou os papéis./ O menino colou os papéis propositalmente.
352,Colocar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A bibliotecária colocou o livro sobre verbos na sessão de Linguística.
353,Comover,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A tristeza do candidato comoveu o povo.
354,Compactar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A pressão da máquina compactou o lixo./ O funcionário da empresa de reciclagem compactou o lixo para ficar mais fácil manuseá-lo.
355,Compatibilizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A alteração da grade compatibilizou os horários das aulas./ A diretora compatibilizou os horários das aulas para ajudar os alunos.
356,Complicar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A manobra política da Rússia complicou a situação global.
357,Compreender,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O aluno compreendeu o sentido do texto.
358,Comprimir,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A baixa temperatura comprimiu o gás./ O químico comprimiu o gás propositalmente.
359,Concentrar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O general concentrou a base do exército (no alto do morro).
360,Concretar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro concretou o chão do quintal.
361,Concretizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As trocas comerciais concretizaram o acordo entre os países./ Os presidentes concretizaram o acordo entre os países para melhoras as relações comerciais.
362,Condecorar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A associação condecorou o pesquisador.
363,Condenar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O júri condenou o réu.
364,Condensar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tempo frio condensou o gás./ O químico condensou o gás propositalmente.
365,Condimentar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira condimentou a comida.
366,Conectar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A instalação da rede conectou os computadores da empresa./ O técnico conectou os computadores da empresa intensionalmente.
367,Confeitar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O padeiro confeitou o bolo.
368,Confinar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O veterinário confinou o cãozinho (no canil).
369,Confortar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A lembrança da garota confortava o rapaz.
370,Confortar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O abraço da irmã confortou a viúva./ A irmã confortou a viúva com um chazinho quente.
371,Confundir,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A indecisão do noivo confundiu a jovem.
372,Congelar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A baixa temperatura da geladeira congelou a carne./ O açougueiro congelou a carne intencionalmente.
373,Congestionar,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O protesto dos professores congestionou o trânsito.
374,Consagrar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O sucesso consagrou o artista./ A empresa de publicidade consagrou o artista com a intenção de promovê-lo.
375,Consolar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O amor dos filhos consolava a viúva.
376,Consolar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O abraço carinhoso da irmã consolou a viúva./ A irmã consolou a viúva com palavras da Bíblia.
